title,questionType,difficulty,subjectId,text,gradeLevel,option1,option1Correct,option1Feedback,option2,option2Correct,option2Feedback,option3,option3Correct,option3Feedback,option4,option4Correct,option4Feedback,correctAnswer,tolerance,explanation,hint
"Integrated Science & Inquiry (Y8) Question 1",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 2",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 3",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,45,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 4",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 5",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 6",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,26,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 7",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 8",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 9",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",9,,,,,,,,,,,,,49,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 10",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
